,id,object_name,chain,object_type,address,number,street,district
6303,83264,чайхона №1,да,ресторан,"город Москва, Профсоюзная улица, дом 64",95, Профсоюзная улица,Обручевский район
6321,29384,ст.цо 170 школьник-юз,нет,столовая,"город Москва, Профсоюзная улица, дом 96Б",200, Профсоюзная улица,район Коньково
6325,29383,ст шк.176«школьник-юз»,нет,столовая,"город Москва, Профсоюзная улица, дом 98А",210, Профсоюзная улица,район Коньково
6326,29617,столовая гбоу школа № 1507 корпус школьного образования № 865,нет,столовая,"город Москва, Профсоюзная улица, дом 142, корпус 5",240, Профсоюзная улица,район Тёплый Стан
6353,19983,кафе «якитория»,да,кафе,"город Москва, проспект Вернадского, дом 121, корпус 1",100, проспект Вернадского,район Тропарёво-Никулино
6354,22867,ресторан «ян примус»,да,ресторан,"город Москва, проспект Вернадского, дом 121, корпус 1",100, проспект Вернадского,район Тропарёво-Никулино
6405,19709,glowsubs sandwiches,да,кафе,"город Москва, проспект Вернадского, дом 88",20, проспект Вернадского,район Тропарёво-Никулино
6406,19710,кафе,нет,кафе,"город Москва, проспект Вернадского, дом 88",20, проспект Вернадского,район Тропарёво-Никулино
6407,19711,кафе,нет,кафе,"город Москва, проспект Вернадского, дом 88",10, проспект Вернадского,район Тропарёво-Никулино
6415,95702,ростикс kfc,да,кафе,"город Москва, проспект Вернадского, дом 14А",30, проспект Вернадского,район Проспект Вернадского
6416,70732,кафе «нияма»,да,кафе,"город Москва, проспект Вернадского, дом 14А",98, проспект Вернадского,район Проспект Вернадского
6417,106234,бистро,нет,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 14А",5, проспект Вернадского,район Проспект Вернадского
6418,20184,кафе «мангал»,нет,кафе,"город Москва, проспект Вернадского, дом 14А",80, проспект Вернадского,район Проспект Вернадского
6419,83671,бургер кинг,да,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 14А",40, проспект Вернадского,район Проспект Вернадского
6430,20193,кафе «петрол комплекс эквипмент кампани»,нет,кафетерий,"город Москва, проспект Вернадского, дом 86Д",40, проспект Вернадского,район Тропарёво-Никулино
6433,142433,сам пришел,нет,ресторан,"город Москва, проспект Вернадского, дом 76А",49, проспект Вернадского,район Проспект Вернадского
6436,69447,чайхона №1,да,ресторан,"город Москва, проспект Вернадского, дом 105, корпус 3",250, проспект Вернадского,район Тропарёво-Никулино
6437,75251,кафе «менза»,да,кафе,"город Москва, проспект Вернадского, дом 105, корпус 3",165, проспект Вернадского,район Тропарёво-Никулино
6438,19988,тимур,нет,ресторан,"город Москва, Ленинский проспект, дом 146",94, Ленинский проспект,район Тропарёво-Никулино
6439,22887,ресторан «скай вью»,нет,ресторан,"город Москва, Ленинский проспект, дом 146",140, Ленинский проспект,район Тропарёво-Никулино
6440,22921,ресторан «пивной дворик»,нет,ресторан,"город Москва, Ленинский проспект, дом 146",140, Ленинский проспект,район Тропарёво-Никулино
6441,22856,ресторан «цдт»,нет,ресторан,"город Москва, Ленинский проспект, дом 146",495, Ленинский проспект,район Тропарёво-Никулино
6442,22754,ресторан «южное китайское море»,нет,ресторан,"город Москва, Ленинский проспект, дом 146",80, Ленинский проспект,район Тропарёво-Никулино
6443,135863,урюк,да,ресторан,"город Москва, проспект Вернадского, владение 6, строение 3",186, проспект Вернадского,район Раменки
6468,151912,кафе,нет,кафе,"город Москва, проспект Вернадского, дом 86Б",30, проспект Вернадского,район Тропарёво-Никулино
6470,19690,кафе «теремок»,да,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",40, проспект Вернадского,район Раменки
6471,19681,кафе «азра»,нет,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",24, проспект Вернадского,район Раменки
6472,19682,кафе kfc,да,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",40, проспект Вернадского,район Раменки
6473,19956,кафе «каро фильм»,нет,кафе,"город Москва, проспект Вернадского, дом 6",85, проспект Вернадского,район Раменки
6474,19959,сбарро,да,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",36, проспект Вернадского,район Раменки
6475,19837,кафе бургер кинг,нет,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",40, проспект Вернадского,район Раменки
6476,19838,кафе «супвок»,нет,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",40, проспект Вернадского,район Раменки
6477,19833,кафе «макдоналдс»,да,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",50, проспект Вернадского,район Раменки
6478,20128,крошка картошка,да,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",40, проспект Вернадского,район Раменки
6479,20130,кафе «восточный базар»,да,кафе,"город Москва, проспект Вернадского, дом 6",80, проспект Вернадского,район Раменки
6480,20191,кафе кофе-хаус,да,кафе,"город Москва, проспект Вернадского, дом 6",48, проспект Вернадского,район Раменки
6481,80196,ресторан «грано»,нет,ресторан,"город Москва, проспект Вернадского, дом 6",90, проспект Вернадского,район Раменки
6482,80187,кафе «суши бар»,нет,кафе,"город Москва, проспект Вернадского, дом 6",10, проспект Вернадского,район Раменки
6483,80189,кафе starbucks,да,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",19, проспект Вернадского,район Раменки
6484,80194,кафе,нет,кафе,"город Москва, проспект Вернадского, дом 6",24, проспект Вернадского,район Раменки
6485,22826,ресторан «космик»,да,ресторан,"город Москва, проспект Вернадского, дом 6",150, проспект Вернадского,район Раменки
6486,22911,шоколадница,да,кафе,"город Москва, проспект Вернадского, дом 6",84, проспект Вернадского,район Раменки
6487,22919,кафе «пекинская утка»,нет,кафе,"город Москва, проспект Вернадского, дом 6",90, проспект Вернадского,район Раменки
6488,22920,ресторан «черный бык»,нет,ресторан,"город Москва, проспект Вернадского, дом 6",120, проспект Вернадского,район Раменки
6489,22964,ресторан tgi friday s,нет,ресторан,"город Москва, проспект Вернадского, дом 6",180, проспект Вернадского,район Раменки
